staffid,staffemail,staffpassword,staffrole
1,admin.david.cooper@asu.edu,kvGzUgVVnl,Supervisor
2,admin.joseph.gomez@asu.edu,0tuFfLqhyS,Event Coordinator
3,admin.andrew.lee@asu.edu,acX2V4YWP0,Operations Staff
4,admin.andrew.nguyen@asu.edu,TVUxaoRbHd,Ticket Manager
5,admin.richard.thomas@asu.edu,7UwIK3T1RA,Ticket Manager
6,admin.lisa.walker@asu.edu,AwoD528cPs,Event Coordinator
7,admin.jason.scott@asu.edu,LLp8LGQsOG,Operations Staff
8,admin.nicole.morales@asu.edu,n6FiXcJnWT,Ticket Manager
9,admin.christine.bennett@asu.edu,krGsqICD6E,Operations Staff
10,admin.anna.lee@asu.edu,LqVCOs7PkW,Communications Lead
11,admin.george.jenkins@asu.edu,oHtX9X7zQu,Event Coordinator
12,admin.michelle.young@asu.edu,hZYX8JmlYy,Operations Staff
13,admin.pamela.williams@asu.edu,1mPFHBVbRM,Operations Staff
14,admin.timothy.jones@asu.edu,5TvBWJ8XwW,Supervisor
15,admin.christine.wood@asu.edu,kzBOMYmQXz,Supervisor
16,admin.daniel.green@asu.edu,A9GsgqLoCd,Operations Staff
17,admin.donald.miller@asu.edu,Uyt2DRJfPg,Ticket Manager
18,admin.melissa.carter@asu.edu,KyJZZ09v3k,Ticket Manager
19,admin.larry.davis@asu.edu,BPW8spPAY8,Operations Staff
20,admin.michelle.torres@asu.edu,yrDLK3tRdD,Ticket Manager
21,admin.carolyn.hall@asu.edu,sxP361w4sZ,Supervisor
22,admin.samantha.gomez@asu.edu,JwTJOMKLDa,Ticket Manager
23,admin.jacob.clark@asu.edu,GWvk4lkHwr,Communications Lead
24,admin.sarah.reyes@asu.edu,IFRHgzCnGo,Operations Staff
25,admin.brandon.lopez@asu.edu,MuX7OTzlai,Operations Staff
26,admin.jason.hill@asu.edu,gBCZwB6jp1,Ticket Manager
27,admin.andrew.morris@asu.edu,LoncNnEOG6,Supervisor
28,admin.samuel.perez@asu.edu,OYvqTKFAc1,Communications Lead
29,admin.diane.perez@asu.edu,98HMik0kds,Supervisor
30,admin.susan.davis@asu.edu,01wMZuPy3h,Event Coordinator
