asurite,password,email,eligible
rehender,LnA7dvLE,rehender@asu.edu,true
ashall,YxjlGK0w,ashall@asu.edu,true
raross,28Y8daGl,raross@asu.edu,true
jobarnes,irbF3DXv,jobarnes@asu.edu,true
larobins,3H2tgVYr,larobins@asu.edu,true
kecook,2gyfHqy8,kecook@asu.edu,false
roevans,AGaVQAFQ,roevans@asu.edu,true
jatorres,RgCIGJ4f,jatorres@asu.edu,false
jaflores,u1vVUsig,jaflores@asu.edu,true
stcooper,ruNws2sd,stcooper@asu.edu,true
keanders,F8zqb796,keanders@asu.edu,true
basanche,SqABOIYg,basanche@asu.edu,false
edbrown,FkZqh0aT,edbrown@asu.edu,true
scwalker,OnYHcOr0,scwalker@asu.edu,false
anharris,TcEsWQVt,anharris@asu.edu,true
brcampbe,EKemioUV,brcampbe@asu.edu,true
rorobert,sFiqabUb,rorobert@asu.edu,true
jayoung,m9LwAWB3,jayoung@asu.edu,true
jogutier,PWVW0hcp,jogutier@asu.edu,false
grking,I4uY2K1k,grking@asu.edu,true
parivera,Tq8AttQs,parivera@asu.edu,true
gemorgan,WBPjawM0,gemorgan@asu.edu,true
chrobert,lMJOVtps,chrobert@asu.edu,true
nianders,D6TSyxEQ,nianders@asu.edu,true
kijames,qwEEIZMt,kijames@asu.edu,false
amedward,mHGxJjgl,amedward@asu.edu,true
pajenkin,rzK4lVU0,pajenkin@asu.edu,true
donguyen,NLP5WbTQ,donguyen@asu.edu,true
jemitche,eossnnLG,jemitche@asu.edu,true
derichar,vfHdEOOc,derichar@asu.edu,false
kibaker,YLV8f3Vh,kibaker@asu.edu,true
kabailey,h7OMPuIj,kabailey@asu.edu,true
sakelly,1n2hUyUZ,sakelly@asu.edu,true
henguyen,C4ABGAbH,henguyen@asu.edu,false
making,aEFkp3CF,making@asu.edu,true
marivera,JOIPATRT,marivera@asu.edu,true
najones,VwylvQYM,najones@asu.edu,true
sagonzal,t18XHjgz,sagonzal@asu.edu,true
rywhite,goVpPDDS,rywhite@asu.edu,true
mibennet,RNZUM3sv,mibennet@asu.edu,true
shhill,m6D07FLR,shhill@asu.edu,true
asparker,V2GBO79K,asparker@asu.edu,true
stsanche,oyQtyaz8,stsanche@asu.edu,true
chcooper,GrNQEkEF,chcooper@asu.edu,true
miking,6vsce7Cb,miking@asu.edu,false
ragreen,9L6QcRXu,ragreen@asu.edu,true
amsmith,cr6MzjHr,amsmith@asu.edu,false
dediaz,BFrthK1D,dediaz@asu.edu,true
jelewis,sOqlWhEC,jelewis@asu.edu,false
cajones,o3jpIbMs,cajones@asu.edu,false
ashill,HSsgXiZR,ashill@asu.edu,false
rethomas,ay1drmNv,rethomas@asu.edu,false
raramire,4bvPj6hz,raramire@asu.edu,true
lilewis,mU5e0arF,lilewis@asu.edu,true
ricruz,njpVJaeX,ricruz@asu.edu,true
japhilli,xIiKUuAB,japhilli@asu.edu,true
cymurphy,exsHwvtN,cymurphy@asu.edu,true
liedward,p8bif1N6,liedward@asu.edu,true
miphilli,nYxgzC2M,miphilli@asu.edu,true
remorgan,7vXxVKp4,remorgan@asu.edu,true
dobarnes,vQlLvkFA,dobarnes@asu.edu,true
chbrooks,1N5OUcrd,chbrooks@asu.edu,true
bephilli,WlmER9WA,bephilli@asu.edu,true
sascott,GQCxiB4D,sascott@asu.edu,true
anrussel,UJYfULs0,anrussel@asu.edu,true
jogomez,9ZSFdDCO,jogomez@asu.edu,false
maortiz,JPVDvVEB,maortiz@asu.edu,true
jaclark,0fJeQIW9,jaclark@asu.edu,true
anrivera,HqFJPdIu,anrivera@asu.edu,true
amwright,62Onq8iL,amwright@asu.edu,true
jajenkin,h3z4cf2L,jajenkin@asu.edu,false
lipowell,gzWG5r4x,lipowell@asu.edu,true
melong,VLMcnVfR,melong@asu.edu,true
jeturner,Mp7Yo6XK,jeturner@asu.edu,false
juwalker,ulZYtCXg,juwalker@asu.edu,false
jajackso,SpKaIN4k,jajackso@asu.edu,true
brgutier,S9LS4ImJ,brgutier@asu.edu,true
shyoung,4hoJkD4J,shyoung@asu.edu,false
nimorris,uXxD3xSy,nimorris@asu.edu,true
paward,2mzWsOwU,paward@asu.edu,false
chgomez,rDsoK4TX,chgomez@asu.edu,true
stlopez,NbkZYu6J,stlopez@asu.edu,true
jomartin,FceYWwIi,jomartin@asu.edu,false
jobrooks,5AnC9NET,jobrooks@asu.edu,true
brlopez,1ezjnCdH,brlopez@asu.edu,false
emlee,EkILMyKS,emlee@asu.edu,false
rebrown,LMKyfSPC,rebrown@asu.edu,true
chevans,fjzcEOT0,chevans@asu.edu,true
degomez,oBIjckAn,degomez@asu.edu,false
chhill,G8B9V2Wp,chhill@asu.edu,false
bryoung,cB7itV4c,bryoung@asu.edu,true
pajames,L5FtxX3O,pajames@asu.edu,true
gajames,DufoFyyw,gajames@asu.edu,true
jahoward,JtRqtIXd,jahoward@asu.edu,true
canguyen,rRaaASgz,canguyen@asu.edu,false
dalewis,8aJVW0Es,dalewis@asu.edu,true
jelong,G4QCGSjH,jelong@asu.edu,true
kisulliv,mbtQNz6d,kisulliv@asu.edu,true
kahughes,z5CFoyVk,kahughes@asu.edu,false
heking,ENNds6uU,heking@asu.edu,false
